epoch,train_loss,val_loss,val_f1,val_minority_recall
1,0.053399973167669056,0.014076092077306653,0.6013685540848616,0.6526315789473685
2,0.0237254847312618,0.006580818671033965,0.7412907620353395,0.6421052631578947
3,0.01170297476766559,0.00798684884699849,0.7896704800075425,0.6631578947368421
4,0.006980430297547679,0.010392946550811853,0.822663764395081,0.631578947368421
5,0.004769213439843061,0.011156368411696767,0.8281535566597933,0.6631578947368421
6,0.0034129558765660525,0.010067027646934039,0.8330966858743752,0.7157894736842105
7,0.0030422589301293103,0.01098215361652666,0.8247095963465841,0.7263157894736842
8,0.0024075719974173703,0.014353660756943502,0.8414504324683965,0.6526315789473685
9,0.001998666159803765,0.012853492891030422,0.80283010876396,0.7052631578947368
10,0.001624439915460225,0.015131198395012568,0.8464664315019479,0.6842105263157895
