epoch,train_loss,val_loss,val_f1,val_minority_recall
1,0.01955269749964675,0.009852932930155189,0.0,0.0
2,0.008573621448514993,0.006415453179215547,0.6010928961748634,0.5789473684210527
3,0.005936987323372442,0.007355939108962756,0.6625,0.5578947368421052
4,0.0037715791691856023,0.010915199526048951,0.6451612903225806,0.5263157894736842
5,0.002324876647712272,0.007013157561088776,0.6813186813186813,0.6526315789473685
6,0.0013118507424350592,0.013234502303079133,0.6863905325443787,0.6105263157894737
7,0.0010416295885252507,0.010319094173449981,0.7191011235955056,0.6736842105263158
8,0.0004347175180955689,0.014138014677465723,0.6961325966850829,0.6631578947368421
9,0.000714322881770076,0.014832375797808954,0.718562874251497,0.631578947368421
10,0.00029156895878676073,0.01798150264595489,0.7375,0.6210526315789474
