epoch,train_loss,val_loss,val_f1,val_minority_recall
1,0.0577611449671106,0.01444793107291221,0.5073529411764706,0.7263157894736842
2,0.010205554238547127,0.012072390867407932,0.6033057851239669,0.7684210526315789
3,0.004150530739702814,0.013225273422061787,0.6543778801843319,0.7473684210526316
4,0.0018131033182881894,0.016539589567789347,0.680628272251309,0.6842105263157895
5,0.0015816960996069965,0.01614471627233808,0.7032967032967034,0.6736842105263158
