name,description,model,test_f1_macro,test_accuracy,test_precision,test_recall,minority_recall,minority_precision,minority_f1
baseline_focal,Current configuration with focal loss (baseline),bert_feature_fusion,0.8248879206442861,0.986683638499951,0.8348494203838606,0.8155302384716501,0.6372549019607843,0.6770833333333334,0.6565656565656566
batch_balance_only,Batch balancing without additional loss weighting,bert_feature_fusion,0.8248611473706303,0.98687946734554,0.8402962538779704,0.8108280978491906,0.6274509803921569,0.6881720430107527,0.6564102564102564
batch_balance_focal_moderate,Batch balancing with moderate focal loss,bert_feature_fusion,0.8234225796048829,0.988739841378635,0.9204377784127371,0.7637567365841331,0.5294117647058824,0.8503937007874016,0.6525679758308157
batch_balance_focal_aggressive,Batch balancing with aggressive focal loss,bert_feature_fusion,0.8227027413417205,0.985019093312445,0.8007902510328586,0.848295357707475,0.7058823529411765,0.6075949367088608,0.6530612244897959
early_stop_optimal,Stop at epoch 9 where validation peaked,bert_feature_fusion,0.8324636432275445,0.988935670224224,0.9092517528562022,0.7806638241269133,0.5637254901960784,0.8273381294964028,0.6705539358600583
lower_threshold,Lower prediction threshold for higher recall,bert_feature_fusion,0.8323795793073459,0.988739841378635,0.89912765607661,0.7853659647493726,0.5735294117647058,0.8068965517241379,0.670487106017192
freeze_more_bert,Freeze more BERT layers to reduce overfitting,bert_feature_fusion,0.8265331527223247,0.9885440125330461,0.9019582428161104,0.7756619532616724,0.553921568627451,0.8129496402877698,0.6588921282798834
aggressive_best,Aggressive combination for maximum recall,bert_feature_fusion,0.8063381450141032,0.9874669538823069,0.8889795685252485,0.7535032196513334,0.5098039215686274,0.7878787878787878,0.6190476190476191
