feature,mean_importance,frequency,total_importance,std_importance
violence_against_women,0.05276756734004367,92,4.854616195284017,0.00984058909001863
sub_event_type_Suicide bomb,0.06263033334990477,6,0.3757820000994286,0.0006286843094452333
fatalities,0.004317602221325773,47,0.20292730440231133,0.00013563083613154226
civilian_targeting,0.012373918719606485,16,0.19798269951370376,0.00017525384543708164
sub_event_type_Attack,0.020939518205066607,6,0.12563710923039964,0.0009593550267726067
sub_event_type_Armed clash,0.0017775601204400966,47,0.08354532566068454,8.517397713043324e-05
sub_event_type_Remote explosive/landmine/IED,0.003075501082060436,26,0.07996302813357134,9.043211480490808e-05
sub_event_type_Non-state actor overtakes territory,0.007570995477723282,5,0.03785497738861641,0.00017897723792605365
sub_event_type_Abduction/forced disappearance,0.006112274344511322,2,0.012224548689022645,0.0018985102196999734
sub_event_type_Shelling/artillery/missile attack,0.0031391048747142995,2,0.006278209749428599,2.4885331748911426e-05
