word,mean_importance,frequency,total_importance
district,0.06448272808856531,66,4.255860053845311
soldiers,0.10425447387341501,17,1.7723260558480551
1,0.04270178656744453,30,1.2810535970233359
a,0.0472677436802444,27,1.276229079366599
2018,0.06721699675198145,18,1.209905941535666
in,0.021835726738886452,49,1.0699506102054361
2019,0.05019163364458181,21,1.054024306536218
were,0.03685909475022637,28,1.0320546530063384
Afghan,0.04317584859246332,21,0.9066928204417296
soldier,0.09726513655781127,9,0.8753862290203015
2017,0.08549556582812169,10,0.8549556582812169
killed,0.021769191000318877,37,0.8054600670117984
fatalities,0.044833884488602364,14,0.6276743828404331
province,0.03195870299728359,19,0.6072153569483881
by,0.025709457843459883,22,0.5656080725561174
wounded,0.02810547689718469,20,0.5621095379436938
2,0.03160085111365303,17,0.5372144689321016
Arbaki,0.1013929843530926,5,0.506964921765463
District,0.08247261801272482,6,0.4948357080763489
area,0.03041032620482078,16,0.4865652192771325
clashes,0.09298558023744621,5,0.46492790118723104
Police,0.1507187432577561,3,0.45215622977326836
forces,0.04516349801769054,10,0.4516349801769054
Fatalities,0.04265108543514373,10,0.4265108543514373
March,0.03419874871950349,12,0.4103849846340419
the,0.01860051673447545,22,0.40921136815845993
Arbabano,0.39834805476363294,1,0.39834805476363294
Policemen,0.3690688420274576,1,0.3690688420274576
election,0.34829683101424974,1,0.34829683101424974
snipers,0.1703268978885811,2,0.3406537957771622
September,0.04103779975521421,8,0.3283023980417137
security,0.04689631791399506,7,0.3282742253979654
military,0.03947458088646941,8,0.31579664709175526
VoJ,0.039116107900702746,8,0.31292886320562197
Qushtepa,0.14311992383016317,2,0.28623984766032634
source,0.06761620879080138,4,0.2704648351632055
January,0.04485113399877654,6,0.26910680399265924
post,0.06638960788911362,4,0.2655584315564545
July,0.037433591099066084,7,0.2620351376934626
officer,0.12988444174025301,2,0.25976888348050603
personnel,0.05087490175124211,5,0.25437450875621054
4,0.035562217081152606,7,0.24893551956806825
government,0.04880012861201645,5,0.24400064306008223
was,0.022125256818134917,11,0.24337782499948407
reported,0.015788948717273026,15,0.2368342307590954
Dakar,0.23067609909289033,1,0.23067609909289033
conducted,0.0563262531749654,4,0.2253050126998616
attacked,0.03196556442793839,7,0.22375895099556872
3,0.027908903457063223,8,0.22327122765650578
checkpoint,0.10847332851458912,2,0.21694665702917823
5,0.026647806032274332,8,0.21318244825819466
Dasht,0.10423880605512537,2,0.20847761211025073
Province,0.06887300975035764,3,0.2066190292510729
and,0.022541155144824236,9,0.20287039630341813
districts,0.06757034652351816,3,0.2027110395705545
losses,0.187911193263925,1,0.187911193263925
following,0.030719823901304302,6,0.1843189434078258
landmine,0.045740867688537565,4,0.18296347075415026
city,0.01821896409914426,10,0.1821896409914426
posts,0.060418607230594557,3,0.18125582169178367
pro,0.08939328159837209,2,0.17878656319674419
areas,0.05947396583761968,3,0.17842189751285903
sources,0.05848484857105133,3,0.175454545713154
policemen,0.03437763449042914,5,0.1718881724521457
IED,0.05727844962644823,3,0.17183534887934468
Districts,0.16576197420453792,1,0.16576197420453792
e,0.05475190433907979,3,0.16425571301723937
forcing,0.16398183758645868,1,0.16398183758645868
base,0.08176554859690971,2,0.16353109719381942
vehicle,0.04037632425629969,4,0.16150529702519875
November,0.039305143463698365,4,0.15722057385479346
homes,0.15576156979791272,1,0.15576156979791272
On,0.010637537045873047,14,0.14892551864222267
clashed,0.07191191663241644,2,0.1438238332648329
they,0.1424907404241284,1,0.1424907404241284
attacks,0.07102303191562022,2,0.14204606383124044
with,0.023316204872446445,6,0.13989722923467868
attack,0.027811712604667777,5,0.13905856302333888
policeman,0.018997767928783413,7,0.1329843755014839
Sherzad,0.13205238805929503,1,0.13205238805929503
provinces,0.13203780274333748,1,0.13203780274333748
ambushed,0.06545483689598935,2,0.1309096737919787
an,0.06106307397241196,2,0.12212614794482392
to,0.04065115971283594,3,0.12195347913850782
casualties,0.020116577432926736,6,0.12069946459756042
field,0.12061081568425527,1,0.12061081568425527
Massoud,0.11890393229611111,1,0.11890393229611111
Khogyani,0.11847294771154156,1,0.11847294771154156
Rod,0.03934486466277939,3,0.11803459398833815
arbaki,0.11602807354870748,1,0.11602807354870748
2021,0.019315729594838123,6,0.11589437756902873
May,0.022555740839912075,5,0.11277870419956038
June,0.027536478033589988,4,0.11014591213435995
center,0.05460242048060411,2,0.10920484096120822
sniper,0.05406013900578317,2,0.10812027801156635
December,0.02692963307707828,4,0.10771853230831312
Saraj,0.0529591593655338,2,0.1059183187310676
police,0.026106570936999363,4,0.10442628374799745
on,0.01704866585327223,6,0.10229199511963338
August,0.025566685979289905,4,0.10226674391715962
NDS,0.03390239041327423,3,0.10170717123982269
21,0.033635576119132336,3,0.100906728357397
marked,0.0964464655823284,1,0.0964464655823284
coded,0.032114513613008176,3,0.09634354083902454
Albarz,0.09615429696874452,1,0.09615429696874452
Kandi,0.09467308793230156,1,0.09467308793230156
2020,0.018899712823418235,5,0.09449856411709118
guards,0.09355859417599713,1,0.09355859417599713
ambush,0.031161198333551913,3,0.09348359500065574
injured,0.018390592169486335,5,0.09195296084743168
lost,0.09132050627936572,1,0.09132050627936572
27,0.02278266222485726,4,0.09113064889942904
Mehtar,0.04395157307224876,2,0.08790314614449753
Bist,0.08698305410597182,1,0.08698305410597182
9,0.021725964217220305,4,0.08690385686888122
local,0.04316735431839358,2,0.08633470863678716
villages,0.08471144021028851,1,0.08471144021028851
Gormach,0.08441766334331714,1,0.08441766334331714
Baish,0.0843069425588925,1,0.0843069425588925
Kala,0.08301178611413891,1,0.08301178611413891
Sirkanay,0.08283677870215941,1,0.08283677870215941
Tahwaidabad,0.08140798640679361,1,0.08140798640679361
February,0.016152654817180173,5,0.08076327408590087
destroyed,0.026696756218471545,3,0.08009026865541463
