feature,corr_with_test_f1,corr_with_cv_score,mean_importance
notes_emb_134,0.7450580259625011,0.08326219656801682,0.0012856377926432374
notes_emb_103,0.7417053465092894,-0.17185757650687195,0.0011061651629585784
notes_emb_159,0.7361343593131833,-0.09172620149680949,0.0013441236720701491
notes_emb_183,0.6942300135744741,-0.20084961163507775,0.0017073738887982172
notes_emb_83,0.6832453305839201,0.27863396548512914,0.0018753727772366433
notes_emb_271,0.6826015491714942,-0.28777032946847075,0.0012147086663805006
notes_emb_128,0.6659403133110211,0.2571337619834822,0.0014880064950658738
notes_emb_372,0.659716935868342,0.18447742951985782,0.001497983124454167
notes_emb_51,0.6595136653688392,0.2222237915793805,0.0019798187814672017
notes_emb_138,0.6534846435475798,-0.25813489986846166,0.0026342926121286333
notes_emb_174,0.6352987054436399,0.40504543395057313,0.002057632881942838
notes_emb_28,0.6295751028517301,-0.0009701311432808836,0.0017500014790807759
notes_emb_95,0.6025605322509243,0.24417824108744782,0.00141336252196135
notes_emb_39,0.593468889196622,0.13740223585298617,0.0016151942495845073
notes_emb_205,0.5889665475709979,-0.1919827030661546,0.001283325474344583
notes_emb_213,0.5868050812574874,0.010499040597725981,0.0016207182714280612
notes_emb_289,0.5750110382304091,-0.3778274352086527,0.0013830068477048356
notes_emb_118,0.5661966946332201,0.016722569015349274,0.0017650688527473149
notes_emb_59,0.560930815603793,-0.39279396851608417,0.0010789846105422455
notes_emb_48,0.5595289000223727,0.10006501571286298,0.0014507727123471645
notes_emb_151,0.5593184962687514,0.237171338759655,0.0016993530327297551
notes_emb_234,0.551065003133755,-0.054258988142955655,0.0019344144561894785
notes_emb_11,0.5411291000941023,-0.21069103306737086,0.001205858296819496
notes_emb_368,0.5368246353588627,0.0863327074441405,0.0014691565706930006
notes_emb_31,0.5331458039663826,0.2635262055907275,0.0016611431917470827
notes_emb_317,0.517508281053669,0.018752870515411534,0.0015592599587692
notes_emb_309,0.5109155027219253,0.2311222619264411,0.001602257565809365
notes_emb_58,0.5096499169495525,0.017270774419543677,0.0012256802889980842
notes_emb_86,0.5053863803966039,0.12875210465224352,0.0016045721608058258
notes_emb_347,0.5027457808993799,0.45988156299743577,0.0021687528791435352
notes_emb_13,0.5017825451639663,-0.3713247229104224,0.001136966606336694
notes_emb_200,0.4991633324880437,-0.012400165469703635,0.0010759802451683418
notes_emb_332,0.4950900800132297,0.08096478575341785,0.0017453720170686824
notes_emb_215,0.49411784850502927,0.23546267288601583,0.0017027749971751083
notes_emb_172,0.48715119367329157,0.0023536008243762348,0.0017074532619687354
notes_emb_282,0.48702539951241675,-0.5143577582586597,0.0013937545568434818
notes_emb_73,0.48345520341697645,-0.06776301759323128,0.00151692783580978
notes_emb_43,0.4774971540774697,-0.1305339941270023,0.0012995730378725391
notes_emb_297,0.4761770643239531,-0.17912597518061982,0.001281162598683803
notes_emb_268,0.4753839614296938,-0.005760120403883984,0.001581402773075856
notes_emb_185,0.47454101196212156,-0.23340217382013115,0.0010341860261441772
notes_emb_341,0.47330121163061206,-0.3067829819896662,0.0012455986409994231
notes_emb_109,0.46841107707733765,0.059795485708217626,0.0014920455309749786
notes_emb_366,0.46597506053713134,0.06590436662570133,0.001227848542427866
notes_emb_132,0.4659074977485496,0.40598822531571654,0.0033446546931279733
notes_emb_277,0.4653946855120917,0.08226652133286076,0.0014998283802851598
notes_emb_241,0.4620019946586278,-0.19056938243889474,0.0013525544167655589
notes_emb_266,0.46097302514924704,0.12094310841013392,0.0017608932299570316
notes_emb_243,0.45806753925076715,-0.14815172879532218,0.0016071468734721612
notes_emb_318,0.45612366036355684,-0.14773067174703414,0.0013855397257369962
notes_emb_158,0.4535800007413238,-0.09494957217467877,0.0012989951490207808
notes_emb_322,0.4530768510136937,0.12726404414937556,0.0015434634053359088
notes_emb_71,0.45185631070581833,0.001034999232115118,0.005217473335792726
notes_emb_382,0.45165248326350005,-0.3362582925198087,0.001475141737395462
notes_emb_47,0.447626244495674,-0.25666301621713405,0.0012245136509016683
notes_emb_212,0.4459237854023346,0.32539149645667087,0.002294341154309162
notes_emb_221,0.4429169079998717,0.19522993538426678,0.002331837146201516
notes_emb_19,0.44232780012586237,-0.24838425158416538,0.0012520357297006407
notes_emb_120,0.44098373218300946,0.10727344115456615,0.0013301235480268785
notes_emb_7,0.43934974569823626,0.25801631914858797,0.001586648865010039
notes_emb_203,0.43558265301489235,0.19423275409639246,0.0017396712637145141
