feature,mean_abs_shap
notes_emb_148,0.013563098
notes_emb_181,0.0135164065
notes_emb_110,0.013485287
notes_emb_96,0.013475862
notes_emb_43,0.013475343
notes_emb_92,0.013401628
notes_emb_327,0.013318612
notes_emb_197,0.013308696
notes_emb_300,0.013261535
notes_emb_353,0.013122003
notes_emb_117,0.013117848
notes_emb_106,0.013100873
notes_emb_30,0.012941852
notes_emb_305,0.0129013145
notes_emb_113,0.012799819
notes_emb_139,0.012736653
notes_emb_324,0.012640358
notes_emb_156,0.01261965
notes_emb_136,0.012313283
notes_emb_280,0.012172838
notes_emb_7,0.012085012
notes_emb_122,0.012058401
notes_emb_83,0.012019287
notes_emb_103,0.011943104
notes_emb_289,0.011862432
notes_emb_58,0.011826445
notes_emb_204,0.011716293
notes_emb_48,0.011632781
notes_emb_25,0.011526347
notes_emb_18,0.011323789
notes_emb_63,0.011285662
notes_emb_22,0.011279096
notes_emb_143,0.011258193
notes_emb_137,0.011154714
notes_emb_126,0.010908299
notes_emb_35,0.010839179
notes_emb_31,0.010666594
notes_emb_5,0.010645936
notes_emb_271,0.010590302
notes_emb_222,0.010505689
notes_emb_268,0.010476702
notes_emb_260,0.010440044
notes_emb_60,0.010419228
notes_emb_356,0.010414583
notes_emb_100,0.010405792
notes_emb_283,0.010386422
notes_emb_87,0.010347479
notes_emb_249,0.010324238
notes_emb_157,0.01031716
notes_emb_77,0.010123929
notes_emb_220,0.010094481
notes_emb_258,0.009915561
notes_emb_166,0.009900017
notes_emb_151,0.009858916
notes_emb_149,0.009799815
notes_emb_358,0.009780064
notes_emb_176,0.009685126
notes_emb_184,0.009612001
notes_emb_332,0.009555447
notes_emb_290,0.00955048
notes_emb_286,0.009473986
notes_emb_246,0.009432669
notes_emb_140,0.009403988
notes_emb_86,0.009378145
notes_emb_284,0.009349185
notes_emb_56,0.009347027
notes_emb_201,0.009335733
notes_emb_304,0.009246004
notes_emb_93,0.009192099
notes_emb_228,0.009175991
notes_emb_200,0.009170496
notes_emb_351,0.009165096
notes_emb_189,0.009154419
notes_emb_81,0.009138269
notes_emb_120,0.009049335
notes_emb_90,0.009000352
notes_emb_141,0.008994358
notes_emb_76,0.00899175
notes_emb_205,0.008964912
notes_emb_310,0.00894802
notes_emb_245,0.008841697
notes_emb_172,0.008798456
notes_emb_262,0.00878875
notes_emb_177,0.008680981
notes_emb_366,0.008670187
notes_emb_361,0.008632099
notes_emb_264,0.008616438
notes_emb_318,0.008612025
notes_emb_336,0.008606061
notes_emb_84,0.008595389
notes_emb_381,0.008580996
notes_emb_230,0.008515471
notes_emb_341,0.00844602
notes_emb_265,0.008401775
notes_emb_27,0.008370685
notes_emb_108,0.0083508175
notes_emb_215,0.008310233
notes_emb_173,0.008274941
notes_emb_129,0.008240012
notes_emb_293,0.008231552
notes_emb_278,0.008220848
notes_emb_128,0.008088829
notes_emb_335,0.007987144
notes_emb_347,0.007957806
notes_emb_373,0.007934139
notes_emb_73,0.007911255
notes_emb_298,0.007841192
notes_emb_13,0.0077859946
notes_emb_185,0.0077056843
notes_emb_317,0.0076791835
notes_emb_275,0.0075533898
notes_emb_360,0.0075302897
notes_emb_49,0.0074774926
notes_emb_6,0.007344471
notes_emb_210,0.0071344515
notes_emb_218,0.0070822844
notes_emb_70,0.007067415
notes_emb_368,0.007060134
notes_emb_192,0.007038797
notes_emb_42,0.0069416882
notes_emb_158,0.006878611
notes_emb_383,0.0067919134
notes_emb_276,0.0067807077
notes_emb_357,0.0067142015
notes_emb_147,0.00670441
notes_emb_342,0.0066649425
notes_emb_203,0.0066350824
notes_emb_270,0.006582603
notes_emb_152,0.006577807
notes_emb_171,0.0065603447
notes_emb_274,0.006531431
notes_emb_277,0.0064295046
notes_emb_295,0.0063930936
notes_emb_145,0.0063706897
notes_emb_135,0.0063547413
notes_emb_94,0.00623063
notes_emb_252,0.006191329
notes_emb_221,0.0061157565
notes_emb_297,0.0060428493
notes_emb_337,0.0060315435
notes_emb_375,0.0059972256
notes_emb_59,0.0059542814
notes_emb_370,0.005928486
notes_emb_320,0.0058496064
notes_emb_371,0.005794225
notes_emb_105,0.0057640886
notes_emb_340,0.0055617504
notes_emb_240,0.005526766
notes_emb_109,0.005450201
notes_emb_209,0.005355686
notes_emb_199,0.005352862
notes_emb_382,0.0053376327
sub_event_type_Attack,0.0053216335
notes_emb_380,0.005012547
notes_emb_309,0.0049610026
notes_emb_85,0.004938739
notes_emb_130,0.0047896043
notes_emb_348,0.004744009
notes_emb_36,0.0047110445
notes_emb_194,0.004694431
notes_emb_95,0.0045833928
notes_emb_11,0.004377877
sub_event_type_Shelling/artillery/missile attack,0.0041638063
notes_emb_55,0.00381533
sub_event_type_Non-state actor overtakes territory,0.0007121157
sub_event_type_Suicide bomb,0.0001412429
sub_event_type_Abduction/forced disappearance,7.385177e-05
sub_event_type_Grenade,0.0
sub_event_type_Government regains territory,0.0
sub_event_type_Sexual violence,0.0
violence_against_women,0.0
sub_event_type_Air/drone strike,0.0
