word,mean_importance,frequency,total_importance,std_importance
district,0.050302086742756796,65,3.269635638279192,0.045621758002647256
1,0.05168787620294669,34,1.7573877909001874,0.05020658338518178
a,0.06039276127343536,25,1.509819031835884,0.07168260353486523
in,0.02729460900904244,53,1.4466142774792494,0.020906277149336475
were,0.04315307560651989,32,1.3808984194086364,0.0639950988862817
2019,0.06149822025009062,22,1.3529608455019937,0.03144338523132721
soldiers,0.07491667888006395,16,1.1986668620810232,0.07723711022930675
2017,0.07381051453193749,16,1.1809682325109998,0.04851280012997351
soldier,0.12229935838497018,9,1.1006942254647316,0.0870461899051338
fatalities,0.06423150421593278,16,1.0277040674549245,0.03839359600988097
2,0.0411643003617086,21,0.8644503075958806,0.031163949896996588
2018,0.04832251717665971,17,0.8214827920032151,0.02974380148866339
Afghan,0.032272571593151084,24,0.774541718235626,0.03207933322924457
Arbaki,0.14639667199218448,5,0.7319833599609225,0.23792968210777218
by,0.019865006671046806,24,0.47676016010512334,0.02126740799947811
killed,0.017395869372462226,27,0.4696884730564801,0.019521143072910196
clashes,0.07784274065232487,6,0.4670564439139492,0.047501099087659246
forces,0.05112115471687188,9,0.46009039245184696,0.042705101220773777
3,0.03740273667782155,12,0.44883284013385855,0.026073886840892093
military,0.040649501422354385,11,0.44714451564589824,0.039469172573159114
and,0.020118364657832802,22,0.44260402247232167,0.019466651271001657
e,0.14156603610176266,3,0.424698108305288,0.09531229997922464
On,0.013179213984553137,32,0.4217348475057004,0.011340763538468648
September,0.05253655765589064,8,0.4202924612471251,0.03950247897197137
policeman,0.05910608477341694,7,0.41374259341391856,0.05795507822038492
IED,0.05696793538454552,7,0.3987755476918186,0.092591648746453
4,0.04959971330435344,8,0.39679770643482754,0.03302163957677815
area,0.023580205203305164,16,0.37728328325288263,0.01998690841407098
NDS,0.0745356220640583,5,0.37267811032029147,0.07105721191484872
Police,0.12209769002492503,3,0.3662930700747751,0.1131726353419227
July,0.051558029117432215,7,0.3609062038220255,0.026326545487901466
March,0.03585245752527668,10,0.3585245752527668,0.034770663133651805
Arbabano,0.35418219322538935,1,0.35418219322538935,0.0
officer,0.1754864860423146,2,0.3509729720846292,0.0558275950207711
coded,0.0259922922115977,12,0.31190750653917243,0.02820760183789807
wounded,0.02327472463481574,13,0.3025714202526046,0.01513968219886865
election,0.2948278936233182,1,0.2948278936233182,0.0
snipers,0.1454536086490754,2,0.2909072172981508,0.14275369154507192
policemen,0.04088420827856058,7,0.28618945794992406,0.03370420644143271
10,0.039687570627958864,7,0.27781299439571205,0.03995450237763288
forced,0.2709906348423547,1,0.2709906348423547,0.0
Barakzayi,0.2700015924329211,1,0.2700015924329211,0.0
province,0.021436034988639843,12,0.2572324198636781,0.019093742087015468
District,0.05109870229186231,5,0.25549351145931154,0.013699298289020417
5,0.02485496563576005,10,0.24854965635760048,0.020861729842637067
post,0.060892487254457985,4,0.24356994901783194,0.03766611465877449
following,0.04013778084484145,6,0.24082668506904872,0.028967154600408797
government,0.05915478538961473,4,0.23661914155845892,0.04364651844853127
Fatalities,0.023516398260496247,10,0.23516398260496246,0.021350816429897213
clashed,0.11469574169683958,2,0.22939148339367915,0.09551785349594341
9,0.03810494629462283,6,0.22862967776773696,0.035478560910198645
Deh,0.05710073783447914,4,0.22840295133791655,0.05460910564601433
as,0.017260246043706677,13,0.22438319856818678,0.018190723739744327
vehicle,0.043949054638974694,5,0.21974527319487347,0.026670421270732735
Qushtepa,0.1071692873522804,2,0.2143385747045608,0.012640123903285108
pro,0.0692611464246194,3,0.20778343927385823,0.04933177738120465
Manogai,0.20463878221260873,1,0.20463878221260873,0.0
January,0.040799701670517066,5,0.20399850835258532,0.0358178255868728
militants,0.05072169291697516,4,0.20288677166790064,0.04085174362287321
source,0.050353655891102585,4,0.20141462356441034,0.024805892218120306
posts,0.06711811552560214,3,0.2013543465768064,0.023630087869998408
rockets,0.185409330560974,1,0.185409330560974,0.0
base,0.0918160271727154,2,0.1836320543454308,0.008899224964057845
marry,0.18352791557797274,1,0.18352791557797274,0.0
police,0.030543912362903727,6,0.18326347417742236,0.017424782591868367
checkpoint,0.09062586310029906,2,0.18125172620059812,0.0780617038004389
Bist,0.18122592442667343,1,0.18122592442667343,0.0
homes,0.17798269640553477,1,0.17798269640553477,0.0
was,0.02530644163380768,7,0.17714509143665375,0.02583423656951237
militia,0.05803817748313522,3,0.17411453244940567,0.03958926317773322
landmine,0.04318631007973267,4,0.17274524031893068,0.018618812845498
Policemen,0.1722878213045242,1,0.1722878213045242,0.0
least,0.043022914215705824,4,0.1720916568628233,0.03629776848474918
11,0.04297026625841608,4,0.17188106503366432,0.06120191881099569
sniper,0.0417448316118991,4,0.1669793264475964,0.05236272555970602
APC,0.0831414574528705,2,0.166282914905741,0.0190824548434603
Bek,0.08163805051463334,2,0.16327610102926668,0.02505708628587647
June,0.023032424404036807,7,0.16122697082825765,0.022843332930853628
security,0.026756308852309785,6,0.1605378531138587,0.025988965430750396
center,0.05327797374763161,3,0.15983392124289483,0.06555886292359506
6,0.02654557728781083,6,0.159273463726865,0.019628555166297967
VoJ,0.01972807030429314,8,0.15782456243434512,0.01325989376835678
Mehtar,0.07844505875211263,2,0.15689011750422527,0.0013050986358139824
February,0.03065121090518965,5,0.15325605452594826,0.01970721187979114
wounding,0.07625186655062627,2,0.15250373310125254,0.029047029917068812
them,0.07571866048227609,2,0.15143732096455217,0.07300532475952355
Dasht,0.15001354830293134,1,0.15001354830293134,0.0
kidnappers,0.1494634992866773,1,0.1494634992866773,0.0
another,0.04960440247078727,3,0.14881320741236181,0.023845227324879533
reported,0.007260438295329378,20,0.14520876590658757,0.005321601068489348
conducted,0.04628655241867358,3,0.13885965725602073,0.023545746034334725
hundreds,0.1378928516088693,1,0.1378928516088693,0.0
others,0.04594540274447939,3,0.13783620823343817,0.016619582144508645
Khogyani,0.13552200172124268,1,0.13552200172124268,0.0
civilians,0.06480852982622808,2,0.12961705965245615,0.0624214995946069
Goorgore,0.12662082299780467,1,0.12662082299780467,0.0
chief,0.0627535335116864,2,0.1255070670233728,0.044805256716142855
8,0.04024925859317733,3,0.120747775779532,0.025189849823733047
personnel,0.02366540550206061,5,0.11832702751030305,0.017126096559563927
21,0.019108152340593845,6,0.11464891404356306,0.010009352160704983
hit,0.022726064801237695,5,0.11363032400618847,0.01808875545664125
forcing,0.11167879375667987,1,0.11167879375667987,0.0
marked,0.1092985524415002,1,0.1092985524415002,0.0
November,0.018185744809464128,6,0.10911446885678477,0.0189905981362081
14,0.027180577183136302,4,0.10872230873254521,0.010918100671927479
casualties,0.021148428010671974,5,0.10574214005335987,0.022699885505370217
Feb,0.10509703743718216,1,0.10509703743718216,0.0
The,0.05106912309913242,2,0.10213824619826484,0.021050511074761736
events,0.03346211929123671,3,0.10038635787371011,0.001475773542140097
Shah,0.049961048986468234,2,0.09992209797293647,0.023672205956284248
16,0.033214761948146834,3,0.0996442858444405,0.01163827455829181
abducted,0.04974966170103328,2,0.09949932340206656,0.03529124865881619
7,0.019882543975977104,5,0.09941271987988552,0.013372633042768756
areas,0.04962366800122635,2,0.0992473360024527,0.008707639866383916
arbaki,0.09901194537352173,1,0.09901194537352173,0.0
August,0.024618269990931713,4,0.09847307996372685,0.012267596662932445
i,0.09834554688177126,1,0.09834554688177126,0.0
sources,0.04872036852697938,2,0.09744073705395875,0.01993770190209466
90,0.09690381210232134,1,0.09690381210232134,0.0
December,0.023795487681368382,4,0.09518195072547353,0.01109527189702457
Mazang,0.09506415450351458,1,0.09506415450351458,0.0
Burhan,0.09479863730132489,1,0.09479863730132489,0.0
News,0.09204749847177808,1,0.09204749847177808,0.0
Lam,0.04577650949009235,2,0.0915530189801847,0.008919812484043537
23,0.030400103705395934,3,0.0912003111161878,0.023188083590055718
losses,0.09117918370906852,1,0.09117918370906852,0.0
leader,0.09063512245683535,1,0.09063512245683535,0.0
gunbattle,0.08989615781858057,1,0.08989615781858057,0.0
girls,0.08946505526174772,1,0.08946505526174772,0.0
roadside,0.08922350615924873,1,0.08922350615924873,0.0
2020,0.011142835593464424,8,0.08914268474771539,0.014753800486969533
Districts,0.08895502020556031,1,0.08895502020556031,0.0
13,0.02217817759175392,4,0.08871271036701568,0.018248375941184437
lost,0.08834210567012504,1,0.08834210567012504,0.0
to,0.04340402306634099,2,0.08680804613268198,0.0044849030647132575
governor,0.08628509010380066,1,0.08628509010380066,0.0
26,0.042778796436400444,2,0.08555759287280089,0.013488298085414763
on,0.010548790153929954,8,0.08439032123143964,0.008034069268650693
Surkh,0.08288193094161124,1,0.08288193094161124,0.0
force,0.08221184433208413,1,0.08221184433208413,0.0
outskirts,0.08210512259684558,1,0.08210512259684558,0.0
local,0.02735909869720177,3,0.08207729609160531,0.028469845155092835
provinces,0.07963806696797532,1,0.07963806696797532,0.0
captured,0.0390215683503336,2,0.0780431367006672,0.0345903183391315
April,0.012409182968539484,6,0.07445509781123691,0.007295897134171528
Saraj,0.03682355244492601,2,0.07364710488985202,0.02529325812219457
National,0.036645469869896016,2,0.07329093973979203,0.01477541104563823
Wazir,0.072931650725559,1,0.072931650725559,0.0
Kardan,0.036349990048011795,2,0.07269998009602359,0.004872612070987083
he,0.07224512490662467,1,0.07224512490662467,0.0
