model,feature,importance
rfc_smote,notes_emb_96,0.0012461410244990624
rfc_smote,notes_emb_97,0.0013800992763148404
rfc_smote,notes_emb_98,0.0016241205731178743
rfc_smote,notes_emb_99,0.0017842283958069032
rfc_smote,notes_emb_100,0.002172882058211103
rfc_smote,notes_emb_101,0.0044704853903106585
rfc_smote,notes_emb_102,0.002489595844347528
rfc_smote,notes_emb_103,0.0011949469527323161
rfc_smote,notes_emb_104,0.0037203621824162254
rfc_smote,notes_emb_105,0.0010280970924423057
rfc_smote,notes_emb_106,0.0014362112728699946
rfc_smote,notes_emb_107,0.0039596113599629345
rfc_smote,notes_emb_108,0.0010287326082805155
rfc_smote,notes_emb_109,0.001395676886555645
rfc_smote,notes_emb_110,0.0013507670853085902
rfc_smote,notes_emb_111,0.0012228360014899374
rfc_smote,notes_emb_112,0.002048960804269426
rfc_smote,notes_emb_113,0.0009679483774222307
rfc_smote,notes_emb_114,0.016471946093060595
rfc_smote,notes_emb_115,0.0015241694400062922
rfc_smote,notes_emb_116,0.0017554848234308245
rfc_smote,notes_emb_117,0.0018742394915879875
rfc_smote,notes_emb_118,0.0020375314554924215
rfc_smote,notes_emb_119,0.00926957440469221
rfc_smote,notes_emb_120,0.0014052198645844063
rfc_smote,notes_emb_121,0.0011153464167265319
rfc_smote,notes_emb_122,0.0015264903488156978
rfc_smote,notes_emb_123,0.004426648966408668
rfc_smote,notes_emb_124,0.003744408225097073
rfc_smote,notes_emb_125,0.0025532011341256643
rfc_smote,notes_emb_126,0.0017645321107604248
rfc_smote,notes_emb_127,0.003037279617481441
rfc_smote,notes_emb_128,0.0012977113857860836
rfc_smote,notes_emb_129,0.0011765295434087465
rfc_smote,notes_emb_130,0.0018730200531689998
rfc_smote,notes_emb_131,0.001819569293122136
rfc_smote,notes_emb_132,0.00374033236359008
rfc_smote,notes_emb_133,0.0012415000279325653
rfc_smote,notes_emb_134,0.0011478582591613663
rfc_smote,notes_emb_135,0.0034706376956891464
rfc_smote,notes_emb_136,0.0012157704624299345
rfc_smote,notes_emb_137,0.0016897478155760539
rfc_smote,notes_emb_138,0.004254515255230713
rfc_smote,notes_emb_139,0.0015102463982305258
rfc_smote,notes_emb_140,0.001588946173473273
rfc_smote,notes_emb_141,0.0010991879353200607
rfc_smote,notes_emb_142,0.0017776732601887334
rfc_smote,notes_emb_143,0.002017162457416023
rfc_smote,notes_emb_144,0.0029096198771827253
rfc_smote,notes_emb_145,0.0014059698796053974
rfc_smote,notes_emb_146,0.0013644381298020757
rfc_smote,notes_emb_147,0.0017841996928863394
rfc_smote,notes_emb_148,0.001142896403371375
rfc_smote,notes_emb_149,0.001649283867334744
rfc_smote,notes_emb_150,0.002653048856667024
rfc_smote,notes_emb_151,0.001992291417837319
rfc_smote,notes_emb_152,0.001389764352316988
rfc_smote,notes_emb_153,0.001639555933517753
rfc_smote,notes_emb_154,0.0013697917929727352
rfc_smote,notes_emb_155,0.0011406135567429325
rfc_smote,notes_emb_156,0.0027538900384916905
rfc_smote,notes_emb_157,0.0012112337512543924
rfc_smote,notes_emb_158,0.001401616715848823
rfc_smote,notes_emb_159,0.0014103002108023397
rfc_smote,notes_emb_160,0.0021938668262184366
rfc_smote,notes_emb_161,0.004424547273653012
rfc_smote,notes_emb_162,0.003042775681974048
rfc_smote,notes_emb_163,0.0021814371330697276
rfc_smote,notes_emb_164,0.0015969660211539013
rfc_smote,notes_emb_165,0.0027888391308471218
rfc_smote,notes_emb_166,0.0010272562325670035
rfc_smote,notes_emb_167,0.003135645695487376
rfc_smote,notes_emb_168,0.0027426385868497883
rfc_smote,notes_emb_169,0.0038371832883820245
rfc_smote,notes_emb_170,0.0018401091942128636
rfc_smote,notes_emb_171,0.0010122572508683332
rfc_smote,notes_emb_172,0.0016002460631388258
rfc_smote,notes_emb_173,0.0015366547539035409
rfc_smote,notes_emb_174,0.0018592797298795894
rfc_smote,notes_emb_175,0.0022288133136934775
rfc_smote,notes_emb_176,0.0012102449398744954
rfc_smote,notes_emb_177,0.0014472191816736145
rfc_smote,notes_emb_178,0.0014069769259338282
rfc_smote,notes_emb_179,0.0028480596508882613
rfc_smote,notes_emb_180,0.001983820426680455
rfc_smote,notes_emb_181,0.0018990716207477115
rfc_smote,notes_emb_182,0.009483153079428909
rfc_smote,notes_emb_183,0.0018411303398296341
rfc_smote,notes_emb_184,0.0014277200562899132
rfc_smote,notes_emb_185,0.0011377502286346397
rfc_smote,notes_emb_186,0.0017514211630746332
rfc_smote,notes_emb_187,0.0018737443582404162
rfc_smote,notes_emb_188,0.001993205940691229
rfc_smote,notes_emb_189,0.0014725568940728594
rfc_smote,notes_emb_190,0.0028888178391697377
rfc_smote,notes_emb_191,0.0022209074163859074
rfc_smote,notes_emb_192,0.0013083851656150317
rfc_smote,notes_emb_193,0.0021422762125073423
rfc_smote,notes_emb_194,0.000948412438310478
rfc_smote,notes_emb_195,0.0021811267900339383
rfc_smote,notes_emb_196,0.002484705771044265
rfc_smote,notes_emb_197,0.0021672963191328894
rfc_smote,notes_emb_198,0.002044532591558565
rfc_smote,notes_emb_199,0.0021157904466126286
rfc_smote,notes_emb_200,0.0009357988048483646
rfc_smote,notes_emb_201,0.0012966288603796794
rfc_smote,notes_emb_202,0.0018818410998031154
rfc_smote,notes_emb_203,0.001501075629345951
rfc_smote,notes_emb_204,0.001870250698598077
rfc_smote,notes_emb_205,0.001050464070506583
rfc_smote,notes_emb_206,0.0017108661394822518
rfc_smote,notes_emb_207,0.0013604608838004586
rfc_smote,notes_emb_208,0.0020214204322581246
rfc_smote,notes_emb_209,0.0010384384948898106
rfc_smote,notes_emb_210,0.0012902140767085324
rfc_smote,notes_emb_211,0.003245712515288695
rfc_smote,notes_emb_212,0.0016275201681993955
rfc_smote,notes_emb_213,0.0015183129485828205
rfc_smote,notes_emb_214,0.003271096909934387
rfc_smote,notes_emb_215,0.0011442893016836721
rfc_smote,notes_emb_216,0.0017275462093085036
rfc_smote,notes_emb_217,0.0017851767876914178
rfc_smote,notes_emb_218,0.001000277065892527
rfc_smote,notes_emb_219,0.0015087601947992295
rfc_smote,notes_emb_220,0.0014052915275691593
rfc_smote,notes_emb_221,0.0025535671332812967
rfc_smote,notes_emb_222,0.0036511204315331884
rfc_smote,notes_emb_223,0.0023440011153312086
rfc_smote,notes_emb_224,0.002051721487547267
rfc_smote,notes_emb_225,0.004612216416559187
rfc_smote,notes_emb_226,0.0016190145934677632
rfc_smote,notes_emb_227,0.0019407860512094437
rfc_smote,notes_emb_228,0.001406980271174693
rfc_smote,notes_emb_229,0.0016060717497592613
rfc_smote,notes_emb_230,0.0011066902308736115
rfc_smote,notes_emb_231,0.0012057277192936509
rfc_smote,notes_emb_232,0.003048328098676175
rfc_smote,notes_emb_233,0.0014983998507447163
rfc_smote,notes_emb_234,0.0019052053268006966
rfc_smote,notes_emb_235,0.0014527316039673964
rfc_smote,notes_emb_236,0.001493335846183229
rfc_smote,notes_emb_237,0.001118573399720495
rfc_smote,notes_emb_238,0.002200176729379269
rfc_smote,notes_emb_239,0.0010149396106614904
rfc_smote,notes_emb_240,0.0021245215259508266
rfc_smote,notes_emb_241,0.0018136144588097361
rfc_smote,notes_emb_242,0.001024305030224877
rfc_smote,notes_emb_243,0.0015833807373138197
rfc_smote,notes_emb_244,0.0016294361805487007
rfc_smote,notes_emb_245,0.001140244870019896
rfc_smote,notes_emb_246,0.001344183701360121
rfc_smote,notes_emb_247,0.0038575076431051816
rfc_smote,notes_emb_248,0.0018578000755311228
rfc_smote,notes_emb_249,0.0013313626679289253
rfc_smote,notes_emb_250,0.0012210165849949153
rfc_smote,notes_emb_251,0.002460733671515921
rfc_smote,notes_emb_252,0.002341036435745536
rfc_smote,notes_emb_253,0.016678084826567935
rfc_smote,notes_emb_254,0.0013506552110563233
rfc_smote,notes_emb_255,0.01137304463334108
rfc_smote,notes_emb_256,0.005878689273960461
rfc_smote,notes_emb_257,0.0012060488293312015
rfc_smote,notes_emb_258,0.0011549186420258073
rfc_smote,notes_emb_259,0.0013961839914744527
rfc_smote,notes_emb_260,0.0013441193580346778
rfc_smote,notes_emb_261,0.0014732505404926354
rfc_smote,notes_emb_262,0.0014616325807197805
rfc_smote,notes_emb_263,0.0028014033681374863
rfc_smote,notes_emb_264,0.007665040008723483
rfc_smote,notes_emb_265,0.0018229986417577378
rfc_smote,notes_emb_266,0.001486543590562567
rfc_smote,notes_emb_267,0.0057402207050294245
rfc_smote,notes_emb_268,0.0018141212514082908
rfc_smote,notes_emb_269,0.013173899792131728
rfc_smote,notes_emb_270,0.0010563709868175392
rfc_smote,notes_emb_271,0.0014168389150567195
rfc_smote,notes_emb_272,0.0050841245598733376
rfc_smote,notes_emb_273,0.012859208600085898
rfc_smote,notes_emb_274,0.0013498045377661062
rfc_smote,notes_emb_275,0.0017490662301815423
rfc_smote,notes_emb_276,0.0009563773146329374
rfc_smote,notes_emb_277,0.0014678234680668453
rfc_smote,notes_emb_278,0.0011835581413041144
rfc_smote,notes_emb_279,0.008402712888952247
rfc_smote,notes_emb_280,0.001683317385059827
rfc_smote,notes_emb_281,0.0014786686027549324
rfc_smote,notes_emb_282,0.0017115830590567161
rfc_smote,notes_emb_283,0.0013085007808558487
rfc_smote,notes_emb_284,0.0016402067717788352
rfc_smote,notes_emb_285,0.0016496166032576478
rfc_smote,notes_emb_286,0.0010811255683378434
rfc_smote,notes_emb_287,0.0009066652808266051
rfc_smote,notes_emb_288,0.0012917751430572763
rfc_smote,notes_emb_289,0.0013417497145962304
rfc_smote,notes_emb_290,0.0019144607988511302
rfc_smote,notes_emb_291,0.001315182271122823
rfc_smote,notes_emb_292,0.0012458353107298095
rfc_smote,notes_emb_293,0.0017487487936641568
rfc_smote,notes_emb_294,0.0016500289455437828
rfc_smote,notes_emb_295,0.0015751503021965594
rfc_smote,notes_emb_296,0.0012909955115565197
rfc_smote,notes_emb_297,0.0016939969162922334
rfc_smote,notes_emb_298,0.0036106541407965654
rfc_smote,notes_emb_299,0.0013869778207035589
rfc_smote,notes_emb_300,0.001119223749904943
rfc_smote,notes_emb_301,0.0018588777033078574
rfc_smote,notes_emb_302,0.0018727005451595743
rfc_smote,notes_emb_303,0.0019002822596365417
rfc_smote,notes_emb_304,0.0013125357812829616
rfc_smote,notes_emb_305,0.003965549167196925
rfc_smote,notes_emb_306,0.002256884494077028
rfc_smote,notes_emb_307,0.0025468054040234745
rfc_smote,notes_emb_308,0.006243283429251151
